User,Tweet
TimesNow,"Animal cruelty: Video shows dead cow being dragged using JCB in Madhya Pradesh's Satna

#AnimalCruelty #MadhyaPradesh 

https://t.co/Z4LSsIf7eW"
TimesNow,"#AnimalCruelty 

Man caught on camera beating it with an iron pipe and injuring it and three other people in the altercation in #PaschimVihar, #Delhi.

@Sabyasachi_13 brings you more on this story. https://t.co/TBVu8XHSZH"
IndiaToday,"Beaten to a pulp, stomped on the ground, grabbed by the beak and violently choked to death. This is the state of a Great Hornbill in Nagaland. 

#Hornbill #Nagaland #Workha #Wildlife #EndangeredSpecies #AnimalCruelty #AnimalAbuse #HornbillFestival #NewsMo https://t.co/yZJiVHLWaG"
TimesNow,"Elephant's Headstand Angers Netizens

#ViralVideo #AnimalCruelty https://t.co/RIfQDfvryQ"
IndiaToday,"A man allegedly killed a stray dog after chopping off its legs in Madhya Pradesh's Gwalior district.
Read the full story: https://t.co/tbaiUhhayG
#MadhyaPradesh #ITCard #AnimalCruelty https://t.co/e6zXA71Ohr"
IndiaToday,This YouTuber was arrested for a cruel video stunt on his pet dog. Watch this to know more. #NewsMo #Vertical #Trending #AnimalCruelty https://t.co/JllS0HZ6GI
IndiaToday,"On Thursday night, the locals reported an injured dog lying near the Ward 8 office. 
#Gujarat #animalcruelty 
https://t.co/FWjyePg96R"
IndiaToday,"This Pakistani couple's out-of-the-box idea for a wedding photoshoot left a bad aftertaste for netizens. The couple allegedly sedated the lion cub &amp; then used it as a prop but later wedding studio denied the claims. 

#NewsMo #WeddingShoot #PakistaniCouple #Cub #AnimalCruelty https://t.co/DfOK8vWVcQ"
IndiaToday,"Denying #animalcruelty charges, #VandanaChavan accused neighbour Vijay Navdikar of 'tarnishing her reputation'.
https://t.co/zLWmLq7s60"
